operator,count_in_subsuming,min_set_size,min_individuals
C2D,1,16,74
EQ2LE,0,,
GT2NE,1,16,74
S2M,0,,
LT2GT,0,,
NE2GT,0,,
GT2EQ,0,,
GT2LE,0,,
GT2LT,1,16,74
NE2EQ,0,,
NE2LE,0,,
NE2LT,0,,
NOT,1,16,74
A2S,1,16,74
E2F,0,,
F2E,1,16,74
CSWAP,0,,
EQ2GT,0,,
EQ2NE,0,,
LT2EQ,0,,
LT2GE,0,,
LT2LE,0,,
LE2EQ,1,16,74
EQ2LT,0,,
LE2GT,1,16,74
LE2NE,1,16,74
LT2NE,1,16,74
S2A,1,16,74
S2DV,0,,
LE2LT,1,16,74
A2M,1,16,74
A2DV,1,16,74
LE2GE,1,16,74
D2C,1,16,74
