operator,count_in_subsuming,min_set_size,min_individuals
EQ2LE,0,,
S2M,0,,
C2D,1,16,60
GT2NE,1,16,60
NE2GT,0,,
LT2GT,0,,
GT2LT,1,16,60
GT2LE,0,,
GT2EQ,0,,
NE2EQ,0,,
NE2LE,0,,
NE2LT,0,,
A2S,1,16,60
F2E,1,16,60
E2F,0,,
CSWAP,0,,
NOT,1,16,60
EQ2GT,0,,
EQ2NE,0,,
LT2EQ,0,,
LT2GE,0,,
LT2LE,0,,
LE2EQ,1,16,60
LE2NE,1,16,60
LE2GT,1,16,60
EQ2LT,0,,
LT2NE,1,16,60
S2A,1,16,60
S2DV,0,,
LE2LT,1,16,60
A2M,1,16,60
A2DV,1,16,60
LE2GE,1,16,60
D2C,1,16,60
