operator,count_in_subsuming,min_set_size,min_individuals
C2D,30,14,63
EQ2LE,0,,
GT2NE,14,14,66
S2M,0,,
NE2GT,12,14,63
GT2EQ,0,,
GT2LE,4,15,67
GT2LT,8,15,67
NE2EQ,0,,
NE2LE,0,,
NE2LT,0,,
NOT,30,14,63
A2S,30,14,63
F2E,0,,
CSWAP,3,15,64
EQ2NE,0,,
LT2EQ,0,,
LT2LE,0,,
LE2EQ,30,14,63
EQ2LT,0,,
LE2NE,30,14,63
LT2NE,30,14,63
S2A,30,14,63
LT2GT,6,14,63
S2DV,0,,
LE2LT,30,14,63
A2M,30,14,63
A2DV,30,14,63
LE2GE,30,14,63
LE2GT,30,14,63
E2F,0,,
EQ2GT,0,,
D2C,30,14,63
LT2GE,0,,
